年份,總機車輛,電動車輛 （萬輛）,電動機車於總登記車輛之佔比
2021,1426.60 ,54.60 ,0.04 
2022,1411.84206896552,65.40 ,0.05 
2023,1397.08413793104,78.79 ,0.06 
2024,1382.32620689656,94.76 ,0.07 
2025,1367.56827586208,113.33 ,0.08 
2026,1352.8103448276,134.48 ,0.10 
2027,1338.05241379312,158.21 ,0.12 
2028,1323.29448275864,184.54 ,0.14 
2029,1308.53655172416,213.45 ,0.16 
2030,1293.77862068968,244.95 ,0.19 
2031,1279.0206896552,282.75 ,0.22 
2032,1264.26275862072,326.85 ,0.26 
2033,1249.50482758624,377.25 ,0.30 
2034,1234.74689655176,433.95 ,0.35 
2035,1219.98896551728,496.95 ,0.41 
2036,1205.2310344828,565.35 ,0.47 
2037,1190.47310344832,639.15 ,0.54 
2038,1175.71517241384,718.35 ,0.61 
2039,1160.95724137936,802.95 ,0.69 
2040,1146.19931034488,892.95 ,0.78 
2041,1131.4413793104,982.95 ,0.87 
2042,1116.68344827592,1072.95 ,0.96 
2043,1101.92551724144,1101.93 ,1.00 
2044,1087.16758620696,1087.17 ,1.00 
2045,1072.40965517248,1072.41 ,1.00 
2046,1057.651724138,1057.65 ,1.00 
2047,1042.89379310352,1042.89 ,1.00 
2048,1028.13586206904,1028.14 ,1.00 
2049,1013.37793103456,1013.38 ,1.00 
2050,998.62,998.62 ,1.00 